Node1	Connections	Node2
hepatology	12	nhs
hepatology	68	ulcerative colitis
hepatology	24	mucosa
hepatology	144	was
hepatology	6	irgm
hepatology	20	oxford
hepatology	20	regulation
hepatology	6	il23r
hepatology	9	tehran
hepatology	6	methylation
hepatology	15	jun
hepatology	12	tokyo
hepatology	20	nod2
hepatology	28	massachusetts
hepatology	16	microbiome
hepatology	16	necrosis
hepatology	11	ren
hepatology	13	impact
hepatology	14	set
hepatology	27	mutations
hepatology	13	macrophages
dextran	12	jun
dextran	8	tokyo
dextran	21	macrophages
dextran	20	hepatology
dextran	7	massachusetts
dextran	38	epithelial
dextran	14	necrosis
dextran	10	impact
dextran	20	mucosa
dextran	87	was
dextran	29	ulcerative colitis
dextran	6	stat3
dextran	14	regulation
cancer	60	hepatology
cancer	79	ulcerative colitis
cancer	8	nhs
cancer	43	mucosa
cancer	9	kras
cancer	168	was
cancer	23	methylation
cancer	17	oxford
cancer	28	dextran
cancer	19	chinese
cancer	21	set
cancer	60	crohn's
cancer	23	massachusetts
cancer	24	jun
cancer	13	tokyo
cancer	10	tp53
cancer	18	macrophages
cancer	12	nod2
cancer	33	genome-wide
cancer	7	tnf
cancer	12	microbiome
cancer	12	necrosis
cancer	14	ren
cancer	12	stat3
cancer	69	epithelial
cancer	15	impact
cancer	6	vdr
cancer	21	cytokine
cancer	31	mutations
cancer	33	regulation
cs	9	was
ifng	8	was
impact	53	was
impact	8	nod2
impact	6	macrophages
impact	13	microbiome
impact	9	regulation
impact	7	necrosis
impact	6	massachusetts
impact	16	ulcerative colitis
impact	10	mutations
impact	6	mucosa
ar	7	was
ar	7	bowel
jun	11	nod2
jun	8	microbiome
jun	7	necrosis
jun	18	massachusetts
jun	25	ulcerative colitis
jun	16	mucosa
jun	71	was
jun	6	oxford
jun	12	regulation
jun	7	mutations
jun	8	macrophages
jun	7	methylation
dld	7	was
tp53	9	ulcerative colitis
tp53	8	was
macrophages	55	was
macrophages	12	regulation
macrophages	12	necrosis
macrophages	11	massachusetts
macrophages	16	ulcerative colitis
macrophages	10	mucosa
tehran	7	ulcerative colitis
tehran	18	was
epithelial	59	ulcerative colitis
epithelial	45	mucosa
epithelial	145	was
epithelial	24	genome-wide
epithelial	11	set
epithelial	16	oxford
